,City,Country,Temperature (F),Latitude,Longitude,Humidity(%),Cloudiness(%),WindSpeed (mph)
328,Awjilah,LY,68.65,29.14,21.3,25,12,12.21
329,Banes,CU,86,20.96,-75.72,62,75,8.05
330,Saint Anthony,US,30.69,43.97,-111.68,74,90,3.36
331,Saravan,AM,46.4,39.72,45.65,61,40,4.7
332,Terney,RU,31.03,45.05,136.61,100,8,14.79
333,Santana do Acarau,BR,97.54,-3.46,-40.21,33,0,11.54
334,Tongliao,CN,14.69,43.61,122.27,60,0,2.93
335,Dragodana,RO,33.8,44.73,25.37,80,0,14.99
336,Mumford,GH,83.18,5.26,-0.76,74,20,8.86
337,Arlit,NE,74.09,18.74,7.39,23,12,3.94
338,Dumas,IN,83.41,21.09,72.71,99,0,11.1
339,Bud,NO,47.59,62.91,6.91,93,75,8.05
340,Davila,PH,77,18.47,120.58,94,20,2.24
341,Cururupu,BR,91.28,-1.82,-44.87,52,0,13
342,Bandarbeyla,SO,78.59,9.49,50.81,100,64,10.98
343,Dubti,ET,76.93,11.74,41.09,46,68,2.71
344,Yulara,AU,60.8,-25.24,130.99,67,0,8.05
345,Ayorou,NE,81.97,14.73,0.92,23,0,2.93
346,Kasongo-Lunda,CD,74.05,-6.48,16.82,86,80,1.7
347,Camacha,PT,63.63,33.08,-16.33,67,20,17.22
348,Cockburn Town,TC,81.16,21.46,-71.14,100,80,12.77
349,Sioux Lookout,CA,6.8,50.1,-91.92,65,40,6.93
350,Kavali,IN,76.16,14.91,79.99,95,76,2.93
351,Bannu,PK,63.43,32.99,70.6,72,88,2.71
352,Preobrazheniye,RU,11.14,42.9,133.91,68,20,1.92
353,Srivardhan,IN,72.74,18.03,73.02,88,0,0.13
354,Vao,EE,41.33,59.1,26.19,90,0,10.65
355,Meulaboh,ID,79.36,4.14,96.13,100,100,5.17
356,Luanda,AO,80.6,-8.83,13.24,78,40,5.82
357,Grand Gaube,MU,73.4,-20.01,57.66,83,75,5.82
358,Havoysund,NO,37.4,71,24.66,86,80,14.99
359,Belmonte,PT,55.64,40.36,-7.35,83,92,11.43
360,Goderich,CA,36.07,43.74,-81.71,94,88,13.33
361,Lamas,PE,62.6,-6.42,-76.52,290,40,3.36
362,Roald,NO,47.55,62.58,6.12,93,20,3.36
363,Palmeiras de Goias,BR,74.86,-16.8,-49.93,99,92,5.61
364,Hagere Hiywet,ET,54.34,8.98,37.85,89,76,1.36
365,Tocache,PE,67.03,-8.19,-76.51,92,76,2.04
366,Dickinson,US,12.02,46.88,-102.79,76,90,12.75
367,Kenai,US,34.05,60.55,-151.26,92,90,6.93
368,Gamboma,CG,78.73,-1.87,15.88,87,56,3.15
369,Xinqing,CN,6.86,48.28,129.53,75,56,2.93
370,Namatanai,PG,76.61,-3.66,152.44,100,88,6.62
371,Talara,PE,62.6,-4.58,-81.27,290,0,16.11
372,Salinopolis,BR,85.12,-0.61,-47.36,86,24,16.13
373,Ugoofaaru,MV,84.26,5.67,73,98,100,9.19
374,Saldanha,PT,52.13,41.42,-6.55,75,64,4.94
375,Yueyang,CN,47.18,29.36,113.12,100,100,9.64
376,Moree,AU,66.85,-29.46,149.84,68,0,12.1
377,Soyo,AO,80.17,-6.13,12.37,75,56,6.29
378,Brae,GB,47.43,60.4,-1.35,87,44,23.04
379,Bang Saphan,TH,78.68,11.21,99.51,95,32,3.04
380,Nizhniy Baskunchak,RU,33.23,48.22,46.83,52,92,9.75
381,Marfino,RU,32,56.07,37.56,87,90,13.42
382,Entebbe,UG,71.6,0.06,32.45,88,20,6.93
383,Longyearbyen,NO,32,78.22,15.63,100,75,24.16
384,Adwa,ET,58.16,14.16,38.9,97,12,2.04
385,Tottori,JP,35.35,35.5,134.23,100,24,2.37
386,Koumac,NC,68.74,-20.56,164.28,98,24,4.83
387,Lypova Dolyna,UA,20.14,50.56,33.8,80,0,3.38
388,Itarema,BR,92.63,-2.92,-39.92,46,0,19.15
389,Humaita,AR,87.8,-24.93,-65.37,38,75,6.93
390,La Romana,DO,84.2,18.43,-68.97,74,40,13.87
391,Belomorsk,RU,40.12,64.52,34.76,95,92,14.67
392,Sao Sepe,BR,68,-30.16,-53.57,94,75,9.17
393,Borba,PT,62.6,38.81,-7.46,72,0,8.05
394,Medicine Hat,CA,19.4,50.04,-110.68,62,20,10.29
395,Northam,GB,45.64,51.04,-4.21,81,0,8.05
396,Matadi,CD,80.35,-5.83,13.46,78,76,6.4
397,Lakselv,NO,38.57,70.05,24.96,100,88,19.46
398,Neman,US,62.96,32.58,-85.98,56,1,3.36
399,Puerto del Rosario,ES,68,28.5,-13.86,88,75,6.93
400,Buerarema,BR,84.2,-14.96,-39.3,74,20,9.17
401,Kulob,TJ,40.16,37.91,69.78,90,92,2.48
402,Pochutla,MX,86.43,15.74,-96.47,59,40,5.95
403,Eden,CA,6.8,50.38,-99.47,65,20,17.22
404,Coos Bay,US,51.08,43.37,-124.22,92,1,5.82
405,Bracebridge,CA,26.6,45.04,-79.31,68,90,13.87
406,Lompoc,US,59.72,34.64,-120.46,69,1,3.49
407,Tual,ID,82.46,-5.67,132.75,100,80,2.93
408,Kailua,US,74.1,21.39,-157.74,71,40,13.87
409,Talnakh,RU,6.68,69.49,88.39,86,76,16.46
410,Los Llanos de Aridane,ES,73.4,28.66,-17.92,53,40,2.24
411,Kichera,RU,-6.19,55.93,110.1,100,44,3.38
412,Yelizovo,RU,26.6,53.19,158.38,86,75,8.95
413,Chapais,CA,19.4,49.78,-74.86,73,90,16.11
414,Wanlaweyn,SO,76.43,2.62,44.89,93,92,4.94
415,Peace River,CA,1.4,56.23,-117.29,77,40,4.7
416,Bani,PH,76.39,15.89,120.27,98,8,2.37
417,Svolvaer,NO,35.6,68.23,14.57,93,40,6.93
418,Chaozhou,CN,69.8,23.66,116.62,83,75,4.47
419,Dawson Creek,CA,7.25,55.76,-120.23,92,1,3.38
420,Mittersill,AT,32.22,47.28,12.48,86,0,5.82
421,Pontian Kecil,MY,79.29,1.48,103.39,94,75,1.12
422,Warrington,GB,45.3,53.39,-2.59,81,0,6.93
423,San Vicente,SV,85.1,13.64,-88.78,54,0,16.11
424,Kamina,CD,73.78,-8.74,25,84,56,0.92
425,Ketchikan,US,42.39,55.34,-131.65,92,90,17.22
426,Opochka,RU,37.46,56.71,28.66,93,92,15.01
427,Axim,GH,83.63,4.87,-2.24,98,64,9.64
428,Sabang,PH,78.19,13.72,123.58,98,92,7.63
429,Maldonado,UY,78.8,-34.91,-54.96,65,75,12.75
430,Ha Tinh,VN,80.08,18.33,105.9,100,48,11.88
431,Gat,SN,84.2,14.69,-16.54,39,0,6.93
432,Potsdam,DE,33.76,52.4,13.06,69,0,5.82
433,Avera,US,61.03,33.19,-82.53,51,1,4.7
434,Elizabeth City,US,52.92,36.3,-76.22,67,40,6.51
435,Hiroshima,JP,53.96,34.39,132.45,74,20,6.93
436,Houma,CN,30.58,35.63,111.36,97,80,2.04
437,Hualmay,PE,72.83,-11.1,-77.61,63,12,6.85
438,Omboue,GA,80.8,-1.57,9.26,100,80,12.44
439,Dharchula,IN,31.43,29.85,80.53,77,0,1.92
440,Aksarka,RU,19.6,66.56,67.8,95,92,18.7
441,Cadiz,US,39.43,40.27,-81,69,90,9.17
442,Kamenka,RU,21.85,53.19,44.05,61,64,10.87
443,Margate,AU,51.8,-43.03,147.26,71,75,4.7
444,Belyy Yar,RU,3.2,53.6,91.39,84,40,4.47
445,Nizwa,OM,69.86,22.93,57.53,40,68,4.05
446,Scarborough,GB,44.02,54.28,-0.41,93,0,4.7
447,Zhigansk,RU,-20.64,66.77,123.37,30,20,2.71
448,Cochrane,CL,58.03,-47.25,-72.57,38,20,2.82
449,Bathsheba,BB,86,13.22,-59.52,66,40,21.92
450,Berdigestyakh,RU,-16.72,62.1,126.7,72,32,6.73
451,Sao Jose da Coroa Grande,BR,81.16,-8.9,-35.15,80,88,12.1
452,Shu,KZ,-2.91,43.6,73.76,35,0,2.93
453,Fairbanks,US,-0.33,64.84,-147.72,85,20,4.61
454,Mackenzie,CA,21.2,55.34,-123.09,92,90,9.17
455,Merritt Island,US,73.98,28.54,-80.67,52,40,6.93
456,Gari,RU,22.16,59.43,62.35,88,76,2.71
457,Maraba,BR,95,-5.35,-49.1,47,40,3.36
458,Bar Harbor,US,39.83,44.39,-68.2,73,90,6.93
459,La Plata,AR,68.88,-34.92,-57.95,83,75,8.05
460,Zavetnoye,RU,31.39,47.12,43.89,64,88,6.96
461,Sawakin,SD,74.77,19.1,37.33,88,0,7.4
462,Portland,US,53.04,45.52,-122.67,44,1,17.22
463,Kyotera,UG,71.48,-0.63,31.54,100,0,7.4
464,Hammerfest,NO,37.4,70.66,23.68,86,88,14.99
465,Nha Trang,VN,75.4,12.24,109.19,100,92,10.76
466,Kinsale,IE,48.2,51.71,-8.52,100,75,13.87
467,Port Blair,IN,85.16,11.67,92.75,95,92,9.64
468,Tigil,RU,1.28,57.8,158.67,60,0,3.71
469,Mujiayingzi,CN,15.28,42.12,118.78,54,0,6.62
470,Saint-Ambroise,FR,42.8,47.25,-0.65,75,90,12.75
471,Garden City,US,47.43,40.73,-73.63,47,75,12.75
472,Stephenville,US,67.21,32.22,-98.2,50,1,10.29
473,Ennis,IE,51.8,52.84,-8.98,81,75,19.46
474,Lata,IN,31.48,30.78,78.62,82,56,1.7
475,Mhlambanyatsi,SZ,77.11,-26.45,31.02,49,24,6.62
476,Kaka,TM,42.37,37.35,59.62,93,76,2.15
477,Nelson Bay,AU,62.6,-32.72,152.14,82,40,9.17
478,Beringovskiy,RU,26.39,63.05,179.32,100,76,25.52
479,Saint Pete Beach,US,71.44,27.73,-82.74,49,1,3.36
480,Kachiry,KZ,25.9,53.07,76.1,92,92,11.21
481,Novikovo,UA,38.81,45.05,34.56,100,92,6.62
482,Kindu,CD,77.02,-2.95,25.92,83,32,1.36
483,Berlevag,NO,35.44,70.86,29.09,100,68,14.56
484,Luderitz,NA,63.74,-26.65,15.16,62,0,22.5
485,Dinanagar,IN,51.1,32.14,75.47,57,48,3.94
486,Huarmey,PE,76.88,-10.07,-78.15,52,0,4.83
487,Terrasini,IT,57.87,38.15,13.08,62,40,12.75
488,Labuhan,ID,72.74,-2.54,115.51,98,68,1.81
489,Daru,SL,72.61,7.99,-10.85,97,80,3.49
490,Tocopilla,CL,66.94,-22.09,-70.2,90,44,8.75
491,Sokoto,NG,80.08,13.06,5.24,58,12,2.71
492,Nuuk,GL,24.8,64.17,-51.74,79,75,18.34
493,Gainesville,US,67.78,29.65,-82.33,48,1,8.05
494,Ati,TD,80.44,13.21,18.34,52,0,0.92
495,Kolvereid,NO,44.71,64.86,11.6,100,76,2.71
496,Noumea,NC,59,-22.28,166.46,87,0,3.36
497,Tilichiki,RU,-22.98,60.47,166.1,100,20,2.82
498,Yamada,JP,42.8,36.58,137.08,93,20,4.7
499,Westport,IE,50,53.8,-9.52,93,75,16.11
500,Sinop,TR,53.35,42.03,35.15,100,68,6.06
501,Limbang,BN,74.17,4.75,115.01,100,75,4.7
502,Murray Bridge,AU,54.83,-35.12,139.28,97,0,10.65
503,Pangody,RU,20.18,65.85,74.49,92,92,13.44
504,Kieta,PG,76.48,-6.22,155.63,100,56,3.71
505,San Pedro,AR,69.46,-33.68,-59.66,87,32,11.99
506,Nkan,GQ,77.96,2.26,11.22,82,48,2.59
507,Bengbu,CN,43.81,32.92,117.38,100,92,7.85
508,Aswan,EG,64.15,24.09,32.9,65,0,7.18
509,Gornopravdinsk,RU,15.73,60.06,69.92,85,68,3.6
510,Manicore,BR,86.02,-5.81,-61.3,74,56,2.15
511,Provideniya,RU,34.45,64.42,-173.23,100,68,20.38
512,Ulladulla,AU,51.8,-35.36,150.48,100,0,4.7
513,Trairi,BR,80.89,-3.28,-39.27,100,0,21.72
514,Esperance,TT,87.8,10.24,-61.45,66,20,11.41
515,Minas,UY,78.8,-34.38,-55.24,65,75,12.75
516,Howard Springs,AU,82.4,-12.5,131.05,78,20,5.82
517,Okha,RU,11.99,53.59,142.95,100,20,8.19
518,Santa Maria,BR,68,-29.69,-53.81,94,75,9.17
519,Whitianga,NZ,62.08,-36.83,175.7,100,68,6.06
520,Lithgow,AU,59,-33.48,150.16,93,90,6.93
521,Lantana,US,77.47,26.19,-97.58,62,90,17.22
522,Carutapera,BR,88.45,-1.2,-46.02,63,0,13.33
523,Hovd,NO,43.74,63.83,10.7,93,90,3.36
524,Machinga,MW,70.63,-15.18,35.3,88,68,4.61
525,Vaitape,PF,79.36,-16.52,-151.75,100,64,10.54
526,Rawson,AR,66.49,-43.3,-65.11,35,92,14.12
527,Mogadishu,SO,81.29,2.04,45.34,100,0,7.85
528,Fruitvale,CA,37.4,49.12,-117.55,64,75,4.7
529,Le Port,FR,40.16,42.87,1.37,76,68,0.69
530,Cap Malheureux,MU,73.4,-19.98,57.61,83,75,5.82
531,Barra do Garcas,BR,78.8,-15.89,-52.26,88,75,5.82
532,Kaeo,NZ,52.04,-35.1,173.78,100,68,3.83
533,The Valley,AI,84.2,18.22,-63.06,66,20,14.99
534,Wick,GB,45.97,51.45,-2.43,93,0,13.87
535,Ovalle,CL,70.99,-30.6,-71.2,76,0,5.17
536,Leshukonskoye,RU,37.33,64.9,45.76,100,92,4.61
537,Skibbereen,IE,48.2,51.55,-9.27,100,75,13.87
538,Praia,BR,80.6,-20.25,-43.81,47,40,8.05
539,Wawa,NG,84.26,9.9,4.41,43,0,5.17
540,Nikolayevsk-na-amure,RU,17.53,53.14,140.72,100,0,2.59
541,Staryy Nadym,RU,20.32,65.61,72.68,92,92,11.1
542,Halifax,CA,32,44.65,-63.58,100,75,19.46
543,Nouadhibou,MR,68,20.93,-17.03,77,0,9.17
544,Mahibadhoo,MV,82.69,3.78,72.97,100,88,8.63
545,Bemidji,US,11.14,47.48,-94.89,64,1,9.17
546,Nakhon Thai,TH,71.21,17.1,100.84,93,68,2.15
547,Puro,PH,75.4,13.13,123.76,97,68,3.38
548,Saint-Georges,CA,29.95,46.12,-70.67,73,88,8.08
549,Borovskoy,KZ,29.09,53.8,64.15,87,88,8.75
550,Linqing,CN,37.06,36.85,115.71,93,88,3.04
551,Calabazar de Sagua,CU,77,22.65,-79.9,83,75,11.41
552,Bahia Honda,CU,79.18,22.9,-83.16,67,56,7.4
553,Payo,ID,71.98,-3.75,103.64,98,64,4.05
554,Clarence Town,AU,62.6,-32.59,151.78,82,40,9.17
555,Kahului,US,73.36,20.89,-156.47,93,40,18.34
556,Port Hedland,AU,78.8,-20.31,118.58,69,24,4.7
557,Banda Aceh,ID,74.14,5.56,95.32,100,64,2.71
558,Numan,NG,83.18,9.46,12.04,53,0,3.83
559,Nagato,JP,55.4,34.35,131.14,71,20,6.93
560,Dhidhdhoo,MV,83.32,6.88,73.1,100,92,6.85
561,Laguna,MX,77,27.52,-110.01,36,5,3.36
562,Eyl,SO,77.56,7.98,49.82,100,24,9.75
563,Mufumbwe,ZM,77.74,-13.68,24.8,48,36,7.74
564,Okhotsk,RU,25.27,59.36,143.24,98,80,11.77
565,Gangakher,IN,70.04,18.95,76.75,48,8,8.75
566,Waddan,LY,64.6,29.16,16.14,32,68,2.71
567,Gladstone,AU,68.65,-23.84,151.26,100,68,4.16
568,Evensk,RU,4.79,61.92,159.24,100,32,6.73
569,Bima,ID,76.39,-8.45,118.73,100,88,2.37
570,Bereda,ES,59,43.27,-7.54,77,0,6.93
571,Gara,HU,41,46.03,19.04,60,40,11.41
572,Gravdal,NO,39.2,59.79,5.78,93,75,8.05
573,Tokmak,UA,29.5,47.26,35.7,80,92,7.52
574,Riyadh,SA,66.2,24.63,46.72,52,0,8.05
575,Lagos,NG,84.2,6.46,3.39,83,20,4.7
576,Saint-Pierre,FR,43.02,48.95,4.24,75,0,16.11
577,El Jicaro,GT,60.68,14.91,-89.89,93,92,1.92
578,Amahai,ID,82.6,-3.31,129,100,44,4.61
579,Bundibugyo,UG,61.45,0.71,30.06,95,12,1.36
580,Pitimbu,BR,87.8,-7.47,-34.81,52,20,16.11
581,Warrnambool,AU,53.62,-38.38,142.48,98,0,9.19
582,Brainerd,US,17.22,46.36,-94.2,56,1,4.7
583,Sao Filipe,CV,76.75,14.9,-24.5,95,76,9.98
584,Kangaatsiaq,GL,27.29,68.31,-53.46,100,88,27.87
585,Estevan,CA,10.4,49.14,-102.99,85,40,18.34
586,Lavrentiya,RU,32.38,65.58,-170.99,100,80,18.7
587,Teya,MX,80.6,21.05,-89.07,47,75,6.93
588,San Jose de Ocoa,DO,89.6,18.55,-70.5,59,40,9.17
589,Xining,CN,14.38,36.62,101.77,87,80,2.48
590,Dillon,US,19.04,45.22,-112.64,80,90,3.36
591,Yerbogachen,RU,-7.5,61.28,108.01,60,48,3.15
592,Seymchan,RU,-17.67,62.93,152.39,99,48,2.71
593,Merauke,ID,77.83,-8.49,140.4,95,0,9.98
594,Tlaxco,MX,64.4,19.61,-98.12,45,20,2.24
595,Scottsbluff,US,19.36,41.87,-103.67,84,90,6.93
596,Astana,KZ,19.4,51.13,71.43,92,90,13.42
597,Zavitinsk,RU,-5.29,50.11,129.44,55,36,2.82
598,Umm Lajj,SA,71.98,25.02,37.27,98,0,8.3
599,Orneta,PL,23.83,54.12,20.13,84,0,2.59
600,Guilin,CN,57.2,25.28,110.29,87,90,6.71
601,Gualeguaychu,AR,79.81,-33.01,-58.51,63,80,15.12
602,North Bend,US,51.08,43.41,-124.22,92,1,5.82
603,Bilma,NE,66.53,18.69,12.92,24,0,3.6
604,Kisangani,CD,76.03,0.52,25.21,86,8,4.05
605,Kizukuri,JP,41.96,40.81,140.39,100,92,5.28
606,Sumbe,AO,78.73,-11.2,13.84,96,68,8.3
607,Mutoko,ZW,81.88,-17.4,32.23,39,8,8.97
608,Vallenar,CL,73.64,-28.58,-70.76,63,0,2.71
609,Inirida,CO,83.05,3.87,-67.92,83,68,2.59
610,Hundorp,NO,22.43,61.55,9.94,84,0,3.15
611,Kodinsk,RU,-0.39,58.6,99.18,65,56,2.37
612,Bay City,US,33.98,43.59,-83.89,74,75,6.93
613,Mersing,MY,79.54,2.43,103.84,96,92,3.94
614,Strezhevoy,RU,5,60.73,77.6,84,90,4.47
615,Munchenbuchsee,CH,34.93,47.02,7.45,86,48,1.12
616,Linares,CL,60.73,-35.85,-71.6,65,0,3.15
617,Grindavik,IS,50,63.84,-22.43,93,90,38.03
618,Bubaque,GW,85.84,11.28,-15.83,93,80,7.52
619,Seoul,KR,34.27,37.57,126.98,69,0,2.24
620,Sovetskaya Gavan,RU,24.14,48.97,140.29,100,0,13
621,Portel,PT,62.6,38.31,-7.71,77,40,19.46
622,Todos Santos,MX,77.54,23.45,-110.23,32,40,6.96
623,Tromso,NO,37.4,69.65,18.96,86,75,5.82
624,Staroaleyskoye,RU,18.34,51.01,82,77,48,10.87
625,Port Hardy,CA,39.2,50.7,-127.42,93,75,2.24
626,Husavik,CA,13.84,50.56,-96.99,91,0,14.67
627,Antalaha,MG,75.44,-14.9,50.28,89,80,9.53
628,Amarpur,IN,68.96,23.52,91.65,89,80,2.15
629,Challapata,BO,61.04,-18.9,-66.78,30,80,7.29
630,Puerto Madryn,AR,61,-42.77,-65.04,58,76,15.68
631,Paamiut,GL,33.82,61.99,-49.67,97,88,38.27
632,Cukai,MY,75.2,4.25,103.42,94,92,1.36
633,Na Wa,TH,75.71,17.49,104.1,85,68,3.15
634,Kaohsiung,TW,73.02,22.62,120.31,83,75,4.7
635,Tulun,RU,3.08,54.56,100.58,80,56,2.59
636,Kalmunai,LK,71.71,7.42,81.82,100,32,3.27
637,Beeville,US,73.69,28.4,-97.75,51,90,8.05
638,Adrar,DZ,71.6,27.87,-0.29,35,44,6.93
639,Bratca,RO,39.2,46.93,22.61,51,0,3.36
640,Petropavl,KZ,25.04,54.87,69.13,92,88,8.19
641,Washington DC.,US,47.79,38.9,-77.04,51,1,4.7
642,Ust-Kuyga,RU,-36.3,70,135.55,0,8,2.93
643,Chimbote,PE,70.45,-9.08,-78.59,72,8,8.75
644,Shingu,JP,60.86,33.72,135.99,100,24,9.08
645,Mildura,AU,57.76,-34.18,142.16,45,0,11.21
646,Rockland,US,47.05,42.13,-70.92,88,75,8.05
647,Dongzhen,CN,10.28,43.33,129.73,65,32,3.49
648,Bowen,AU,64.4,-20.01,148.25,93,100,10.31
649,Maragogi,BR,81.16,-9.01,-35.22,80,88,12.1
650,Ignacio Zaragoza,MX,72.16,28.57,-111.59,42,0,2.93
651,Lubana,CD,64.28,0.23,29.1,92,20,2.04
652,Oxford,US,61.99,33.61,-85.83,45,1,3.36
653,Olinda,EC,82.4,-2.03,-79.75,61,75,5.82
654,Byron Bay,AU,66.2,-28.65,153.62,93,75,6.93
655,Nachingwea,TZ,77.92,-10.37,38.76,65,24,5.5
656,Popondetta,PG,67.75,-8.77,148.24,98,88,1.92
657,Guangyuan,CN,37.73,32.43,105.86,76,76,7.96
658,Naze,NG,79.31,5.43,7.07,88,56,4.83
